date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target (t + 1)
8/4/15,0.275524633,0.269063222,0.254272051,0.254979265,0.4411957,0.643167354,0.290991979,0.430503883,0.569496117,0.254979265,0.5038089,0.509046424,0.525010431,0.540155447,0.290968607,0.295103341,0.309077479,0.333699015,0.169377838,0.442092104,0.251745267,1
8/5/15,0.250061885,0.267598612,0.247689492,0.259290971,0.343975158,0.508346929,0.293170239,0.596548736,0.403451264,0.25929097,0.499084341,0.504951605,0.522941698,0.538721945,0.283997973,0.288552091,0.304416064,0.331231434,0.142497473,0.442092104,0.220368101,1
8/6/15,0.270255062,0.265273625,0.262178887,0.260715379,0.162231743,0.256314551,0.293545702,0.578019011,0.421980989,0.260715379,0.495388357,0.500986502,0.521550702,0.537553658,0.278907028,0.28346432,0.300343661,0.328922891,0.117672091,0.442092104,0.189045203,1
8/7/15,0.262301199,0.263859168,0.264392486,0.262937672,0.106495662,0.179022635,0.29537888,0.583140081,0.416859919,0.262937672,0.491579072,0.497459958,0.520741066,0.536215317,0.275463283,0.279726492,0.296885435,0.326802031,0.058180078,0.442092104,0.103062674,1
8/10/15,0.273459792,0.28502288,0.276064077,0.286871816,0.170254047,0.267439469,0.314309675,0.722501814,0.277498186,0.286871816,0.490162662,0.4964141,0.520134286,0.535251994,0.278340845,0.281244403,0.296194127,0.32581067,0.18012502,0.409744052,0.278778453,0
8/11/15,0.280783939,0.274780756,0.257665548,0.251369843,0.335243095,0.496237756,0.293873014,0.340992945,0.659007055,0.251369843,0.485819058,0.492504331,0.517790866,0.53389072,0.272337584,0.275698465,0.291952974,0.323306148,0.18012502,0.427590805,0.270204971,1
8/12/15,0.25057085,0.259162623,0.236392799,0.261342503,0.353267994,0.521233755,0.282286966,0.632886673,0.367113327,0.261342503,0.482943646,0.489490197,0.515810926,0.532655152,0.269983416,0.27306762,0.289131401,0.321335818,0.230935924,0.426120416,0.323248342,0
8/13/15,0.270655955,0.2647082,0.264622399,0.26082962,0.145129256,0.232597706,0.296742012,0.565582807,0.434417193,0.26082962,0.48150616,0.486696912,0.513569531,0.531460112,0.268033337,0.27081705,0.286526316,0.319420332,0.230935924,0.41216174,0.330670042,1
8/14/15,0.260813547,0.2641989,0.261575289,0.265444967,0.123174665,0.202152213,0.295171372,0.598502902,0.401497098,0.265444966,0.482463971,0.484689036,0.511151936,0.530319731,0.267588007,0.269858113,0.284639382,0.317781733,0.254453935,0.369766935,0.378317747,1
8/17/15,0.270655955,0.271781678,0.27014214,0.272283809,0.115167186,0.191047856,0.304109688,0.612767649,0.387232351,0.272283809,0.483653062,0.484376436,0.508753561,0.52934374,0.268829196,0.270381094,0.283628655,0.316506366,0.271663562,0.369766935,0.39408383,0
8/18/15,0.272887432,0.270592914,0.27307399,0.268522265,0.090401776,0.156704465,0.302944319,0.544733354,0.455266646,0.268522265,0.48436754,0.485371911,0.505729314,0.528371667,0.268921367,0.270089792,0.282331095,0.315116571,0.271663562,0.376456831,0.389739028,0
8/19/15,0.270998888,0.265387068,0.265427399,0.260031735,0.14415306,0.231243969,0.295816824,0.514372385,0.485627615,0.260031735,0.484101592,0.48542636,0.502669546,0.527345513,0.267022079,0.268228091,0.280292397,0.313410097,0.271663562,0.397943377,0.376410259,0
8/20/15,0.259440006,0.253107148,0.2478915,0.246582533,0.223316975,0.341024396,0.281329678,0.482551677,0.517448323,0.246582533,0.480414358,0.48438753,0.50024492,0.526152858,0.262422782,0.264133437,0.277078133,0.311182586,0.271663562,0.429818701,0.358235335,0
